year,jornada,date,stadium,teamA,logo_teamA,teamB,logo_teamB,scoreTeamA,scoreTeamB,winner,winnerAsNumeric
1929,10,28 Abr 29,Municipal Nou Sardenya,CE Europa,CE Europa.jpg,Real Madrid,Real Madrid.jpg,5,2,CE Europa,1
1929,10,28 Abr 29,Stadium Gal,Real Unión,Real Unión.jpg,Espanyol,Espanyol.jpg,4,3,Real Unión,1
1929,11,05 May 29,Municipal de Gobela,Arenas,Arenas.jpg,CE Europa,CE Europa.jpg,2,2,Draw,0
1929,11,05 May 29,RCDE Stadium,Espanyol,Espanyol.jpg,Athletic,Athletic.jpg,4,1,Espanyol,1
1929,11,05 May 29,Campos de Sport de El Sardinero,Racing,Racing.jpg,Real Unión,Real Unión.jpg,1,3,Real Unión,2
1929,11,09 May 29,Anoeta,Sociedad,Sociedad.jpg,Atlético,Atlético.jpg,3,3,Draw,0
1929,11,09 May 29,Santiago Bernabéu,Real Madrid,Real Madrid.jpg,Barcelona,Barcelona.jpg,0,1,Barcelona,2
1929,12,09 May 29,Municipal Nou Sardenya,CE Europa,CE Europa.jpg,Espanyol,Espanyol.jpg,0,3,Espanyol,2
1929,12,12 May 29,San Mamés,Athletic,Athletic.jpg,Racing,Racing.jpg,0,0,Draw,0
1929,12,19 May 29,Wanda Metropolitano,Atlético,Atlético.jpg,Real Unión,Real Unión.jpg,3,1,Atlético,1
1929,12,19 May 29,Anoeta,Sociedad,Sociedad.jpg,Real Madrid,Real Madrid.jpg,5,4,Sociedad,1
1929,12,30 Jun 29,Municipal de Gobela,Arenas,Arenas.jpg,Barcelona,Barcelona.jpg,0,2,Barcelona,2
1929,13,26 May 29,San Mamés,Athletic,Athletic.jpg,Arenas,Arenas.jpg,2,3,Arenas,2
1929,13,26 May 29,Camp Nou,Barcelona,Barcelona.jpg,Atlético,Atlético.jpg,4,0,Barcelona,1
1929,13,26 May 29,RCDE Stadium,Espanyol,Espanyol.jpg,Sociedad,Sociedad.jpg,1,1,Draw,0
1929,13,26 May 29,Stadium Gal,Real Unión,Real Unión.jpg,CE Europa,CE Europa.jpg,2,3,CE Europa,2
1929,13,26 May 29,Santiago Bernabéu,Real Madrid,Real Madrid.jpg,Racing,Racing.jpg,2,2,Draw,0
1929,14,12 May 29,Stadium Gal,Real Unión,Real Unión.jpg,Arenas,Arenas.jpg,7,1,Real Unión,1
1929,14,30 May 29,Wanda Metropolitano,Atlético,Atlético.jpg,Real Madrid,Real Madrid.jpg,0,3,Real Madrid,2
1929,14,30 May 29,Camp Nou,Barcelona,Barcelona.jpg,Sociedad,Sociedad.jpg,1,0,Barcelona,1
1929,14,30 May 29,Municipal Nou Sardenya,CE Europa,CE Europa.jpg,Athletic,Athletic.jpg,1,1,Draw,0
1929,14,30 May 29,Campos de Sport de El Sardinero,Racing,Racing.jpg,Espanyol,Espanyol.jpg,1,1,Draw,0
1929,15,02 Jun 29,San Mamés,Athletic,Athletic.jpg,Real Unión,Real Unión.jpg,2,1,Athletic,1
1929,15,02 Jun 29,Municipal Nou Sardenya,CE Europa,CE Europa.jpg,Barcelona,Barcelona.jpg,1,1,Draw,0
1929,15,02 Jun 29,Campos de Sport de El Sardinero,Racing,Racing.jpg,Atlético,Atlético.jpg,1,2,Atlético,2
1929,15,02 Jun 29,Anoeta,Sociedad,Sociedad.jpg,Arenas,Arenas.jpg,3,2,Sociedad,1
1929,15,02 Jun 29,Santiago Bernabéu,Real Madrid,Real Madrid.jpg,Espanyol,Espanyol.jpg,2,0,Real Madrid,1
1929,16,09 Jun 29,Municipal de Gobela,Arenas,Arenas.jpg,Espanyol,Espanyol.jpg,3,0,Arenas,1
1929,16,09 Jun 29,Wanda Metropolitano,Atlético,Atlético.jpg,CE Europa,CE Europa.jpg,5,4,Atlético,1
1929,16,09 Jun 29,Camp Nou,Barcelona,Barcelona.jpg,Athletic,Athletic.jpg,3,0,Barcelona,1
1929,16,09 Jun 29,Campos de Sport de El Sardinero,Racing,Racing.jpg,Sociedad,Sociedad.jpg,6,1,Racing,1
1929,16,09 Jun 29,Stadium Gal,Real Unión,Real Unión.jpg,Real Madrid,Real Madrid.jpg,0,2,Real Madrid,2
1929,17,16 Jun 29,San Mamés,Athletic,Athletic.jpg,Atlético,Atlético.jpg,3,3,Draw,0
1929,17,16 Jun 29,RCDE Stadium,Espanyol,Espanyol.jpg,Barcelona,Barcelona.jpg,1,1,Draw,0
1929,17,16 Jun 29,Municipal Nou Sardenya,CE Europa,CE Europa.jpg,Racing,Racing.jpg,4,1,CE Europa,1
1929,17,16 Jun 29,Anoeta,Sociedad,Sociedad.jpg,Real Unión,Real Unión.jpg,3,2,Sociedad,1
1929,17,16 Jun 29,Santiago Bernabéu,Real Madrid,Real Madrid.jpg,Arenas,Arenas.jpg,2,0,Real Madrid,1
1929,18,23 Jun 29,San Mamés,Athletic,Athletic.jpg,Real Madrid,Real Madrid.jpg,2,0,Athletic,1
1929,18,23 Jun 29,Wanda Metropolitano,Atlético,Atlético.jpg,Espanyol,Espanyol.jpg,7,1,Atlético,1
1929,18,23 Jun 29,Camp Nou,Barcelona,Barcelona.jpg,Real Unión,Real Unión.jpg,4,1,Barcelona,1
1929,18,23 Jun 29,Campos de Sport de El Sardinero,Racing,Racing.jpg,Arenas,Arenas.jpg,5,1,Racing,1
1929,18,23 Jun 29,Anoeta,Sociedad,Sociedad.jpg,CE Europa,CE Europa.jpg,5,4,Sociedad,1
1930,1,01 Dic 29,San Mamés,Athletic,Athletic.jpg,Real Madrid,Real Madrid.jpg,2,1,Athletic,1
1930,1,01 Dic 29,Wanda Metropolitano,Atlético,Atlético.jpg,CE Europa,CE Europa.jpg,5,3,Atlético,1
1930,1,01 Dic 29,Camp Nou,Barcelona,Barcelona.jpg,Sociedad,Sociedad.jpg,3,0,Barcelona,1
1930,1,01 Dic 29,Campos de Sport de El Sardinero,Racing,Racing.jpg,Espanyol,Espanyol.jpg,4,1,Racing,1
1930,1,01 Dic 29,Stadium Gal,Real Unión,Real Unión.jpg,Arenas,Arenas.jpg,3,2,Real Unión,1
1930,2,08 Dic 29,Municipal de Gobela,Arenas,Arenas.jpg,Barcelona,Barcelona.jpg,1,3,Barcelona,2
1930,2,08 Dic 29,RCDE Stadium,Espanyol,Espanyol.jpg,Atlético,Atlético.jpg,1,0,Espanyol,1
1930,2,08 Dic 29,Municipal Nou Sardenya,CE Europa,CE Europa.jpg,Athletic,Athletic.jpg,2,2,Draw,0
1930,2,08 Dic 29,Anoeta,Sociedad,Sociedad.jpg,Racing,Racing.jpg,7,0,Sociedad,1
1930,2,08 Dic 29,Santiago Bernabéu,Real Madrid,Real Madrid.jpg,Real Unión,Real Unión.jpg,2,2,Draw,0
1930,3,15 Dic 29,San Mamés,Athletic,Athletic.jpg,Sociedad,Sociedad.jpg,2,2,Draw,0
1930,3,15 Dic 29,Wanda Metropolitano,Atlético,Atlético.jpg,Real Madrid,Real Madrid.jpg,2,1,Atlético,1
1930,3,15 Dic 29,Camp Nou,Barcelona,Barcelona.jpg,CE Europa,CE Europa.jpg,2,1,Barcelona,1
1930,3,15 Dic 29,Campos de Sport de El Sardinero,Racing,Racing.jpg,Arenas,Arenas.jpg,2,5,Arenas,2
1930,3,15 Dic 29,Stadium Gal,Real Unión,Real Unión.jpg,Espanyol,Espanyol.jpg,3,3,Draw,0
1930,4,22 Dic 29,Municipal de Gobela,Arenas,Arenas.jpg,CE Europa,CE Europa.jpg,2,3,CE Europa,2
1930,4,22 Dic 29,Wanda Metropolitano,Atlético,Atlético.jpg,Real Unión,Real Unión.jpg,3,3,Draw,0
1930,4,22 Dic 29,Camp Nou,Barcelona,Barcelona.jpg,Racing,Racing.jpg,5,0,Barcelona,1
1930,4,22 Dic 29,RCDE Stadium,Espanyol,Espanyol.jpg,Athletic,Athletic.jpg,2,2,Draw,0
1930,4,22 Dic 29,Anoeta,Sociedad,Sociedad.jpg,Real Madrid,Real Madrid.jpg,4,0,Sociedad,1
1930,5,29 Dic 29,Municipal de Gobela,Arenas,Arenas.jpg,Athletic,Athletic.jpg,3,3,Draw,0
1930,5,29 Dic 29,Municipal Nou Sardenya,CE Europa,CE Europa.jpg,Sociedad,Sociedad.jpg,3,2,CE Europa,1
1930,5,29 Dic 29,Campos de Sport de El Sardinero,Racing,Racing.jpg,Atlético,Atlético.jpg,3,2,Racing,1
1930,5,29 Dic 29,Stadium Gal,Real Unión,Real Unión.jpg,Barcelona,Barcelona.jpg,1,3,Barcelona,2
1930,5,29 Dic 29,Santiago Bernabéu,Real Madrid,Real Madrid.jpg,Espanyol,Espanyol.jpg,2,4,Espanyol,2
1930,6,05 Ene 30,San Mamés,Athletic,Athletic.jpg,Real Unión,Real Unión.jpg,5,2,Athletic,1
1930,6,05 Ene 30,Camp Nou,Barcelona,Barcelona.jpg,Atlético,Atlético.jpg,4,2,Barcelona,1
1930,6,05 Ene 30,Anoeta,Sociedad,Sociedad.jpg,Arenas,Arenas.jpg,4,4,Draw,0
1930,6,05 Ene 30,Santiago Bernabéu,Real Madrid,Real Madrid.jpg,Racing,Racing.jpg,6,0,Real Madrid,1
1930,6,09 Ene 30,RCDE Stadium,Espanyol,Espanyol.jpg,CE Europa,CE Europa.jpg,1,2,CE Europa,2
1930,7,12 Ene 30,Municipal de Gobela,Arenas,Arenas.jpg,Espanyol,Espanyol.jpg,2,0,Arenas,1
1930,7,12 Ene 30,Wanda Metropolitano,Atlético,Atlético.jpg,Sociedad,Sociedad.jpg,1,1,Draw,0
1930,7,12 Ene 30,Camp Nou,Barcelona,Barcelona.jpg,Athletic,Athletic.jpg,1,1,Draw,0
1930,7,12 Ene 30,Municipal Nou Sardenya,CE Europa,CE Europa.jpg,Real Madrid,Real Madrid.jpg,1,2,Real Madrid,2
1930,7,12 Ene 30,Stadium Gal,Real Unión,Real Unión.jpg,Racing,Racing.jpg,6,3,Real Unión,1
1930,8,19 Ene 30,San Mamés,Athletic,Athletic.jpg,Atlético,Atlético.jpg,6,1,Athletic,1
1930,8,19 Ene 30,RCDE Stadium,Espanyol,Espanyol.jpg,Barcelona,Barcelona.jpg,4,0,Espanyol,1
1930,8,19 Ene 30,Campos de Sport de El Sardinero,Racing,Racing.jpg,CE Europa,CE Europa.jpg,6,0,Racing,1
1930,8,19 Ene 30,Anoeta,Sociedad,Sociedad.jpg,Real Unión,Real Unión.jpg,2,3,Real Unión,2
1930,8,19 Ene 30,Santiago Bernabéu,Real Madrid,Real Madrid.jpg,Arenas,Arenas.jpg,5,2,Real Madrid,1
1930,9,26 Ene 30,San Mamés,Athletic,Athletic.jpg,Racing,Racing.jpg,4,0,Athletic,1
1930,9,26 Ene 30,Wanda Metropolitano,Atlético,Atlético.jpg,Arenas,Arenas.jpg,1,3,Arenas,2
1930,9,26 Ene 30,Camp Nou,Barcelona,Barcelona.jpg,Real Madrid,Real Madrid.jpg,1,4,Real Madrid,2
1930,9,26 Ene 30,Municipal Nou Sardenya,CE Europa,CE Europa.jpg,Real Unión,Real Unión.jpg,0,1,Real Unión,2
1930,9,26 Ene 30,Anoeta,Sociedad,Sociedad.jpg,Espanyol,Espanyol.jpg,1,0,Sociedad,1
1930,10,02 Feb 30,Municipal de Gobela,Arenas,Arenas.jpg,Real Unión,Real Unión.jpg,7,2,Arenas,1
1930,10,02 Feb 30,RCDE Stadium,Espanyol,Espanyol.jpg,Racing,Racing.jpg,3,0,Espanyol,1
1930,10,02 Feb 30,Municipal Nou Sardenya,CE Europa,CE Europa.jpg,Atlético,Atlético.jpg,2,0,CE Europa,1
1930,10,02 Feb 30,Anoeta,Sociedad,Sociedad.jpg,Barcelona,Barcelona.jpg,1,2,Barcelona,2
1930,10,02 Feb 30,Santiago Bernabéu,Real Madrid,Real Madrid.jpg,Athletic,Athletic.jpg,2,3,Athletic,2
