year,jornada,date,stadium,teamA,teamB,scoreTeamA,scoreTeamB,winner,winnerAsNumeric
1929,15,02 Jun 29,San Mamés,Athletic,Real Unión,2,1,Athletic,1
1929,15,02 Jun 29,Municipal Nou Sardenya,CE Europa,Barcelona,1,1,Draw,0
1929,15,02 Jun 29,Campos de Sport de El Sardinero,Racing,Atlético,1,2,Atlético,2
1929,15,02 Jun 29,Anoeta,Sociedad,Arenas,3,2,Sociedad,1
1929,15,02 Jun 29,Santiago Bernabéu,Real Madrid,Espanyol,2,0,Real Madrid,1
1929,16,09 Jun 29,Municipal de Gobela,Arenas,Espanyol,3,0,Arenas,1
1929,16,09 Jun 29,Wanda Metropolitano,Atlético,CE Europa,5,4,Atlético,1
1929,16,09 Jun 29,Camp Nou,Barcelona,Athletic,3,0,Barcelona,1
1929,16,09 Jun 29,Campos de Sport de El Sardinero,Racing,Sociedad,6,1,Racing,1
1929,16,09 Jun 29,Stadium Gal,Real Unión,Real Madrid,0,2,Real Madrid,2
1929,17,16 Jun 29,San Mamés,Athletic,Atlético,3,3,Draw,0
1929,17,16 Jun 29,RCDE Stadium,Espanyol,Barcelona,1,1,Draw,0
1929,17,16 Jun 29,Municipal Nou Sardenya,CE Europa,Racing,4,1,CE Europa,1
1929,17,16 Jun 29,Anoeta,Sociedad,Real Unión,3,2,Sociedad,1
1929,17,16 Jun 29,Santiago Bernabéu,Real Madrid,Arenas,2,0,Real Madrid,1
1929,18,23 Jun 29,San Mamés,Athletic,Real Madrid,2,0,Athletic,1
1929,18,23 Jun 29,Wanda Metropolitano,Atlético,Espanyol,7,1,Atlético,1
1929,18,23 Jun 29,Camp Nou,Barcelona,Real Unión,4,1,Barcelona,1
1929,18,23 Jun 29,Campos de Sport de El Sardinero,Racing,Arenas,5,1,Racing,1
1929,18,23 Jun 29,Anoeta,Sociedad,CE Europa,5,4,Sociedad,1
1930,1,01 Dic 29,San Mamés,Athletic,Real Madrid,2,1,Athletic,1
1930,1,01 Dic 29,Wanda Metropolitano,Atlético,CE Europa,5,3,Atlético,1
1930,1,01 Dic 29,Camp Nou,Barcelona,Sociedad,3,0,Barcelona,1
1930,1,01 Dic 29,Campos de Sport de El Sardinero,Racing,Espanyol,4,1,Racing,1
1930,1,01 Dic 29,Stadium Gal,Real Unión,Arenas,3,2,Real Unión,1
1930,2,08 Dic 29,Municipal de Gobela,Arenas,Barcelona,1,3,Barcelona,2
1930,2,08 Dic 29,RCDE Stadium,Espanyol,Atlético,1,0,Espanyol,1
1930,2,08 Dic 29,Municipal Nou Sardenya,CE Europa,Athletic,2,2,Draw,0
1930,2,08 Dic 29,Anoeta,Sociedad,Racing,7,0,Sociedad,1
1930,2,08 Dic 29,Santiago Bernabéu,Real Madrid,Real Unión,2,2,Draw,0
1930,3,15 Dic 29,San Mamés,Athletic,Sociedad,2,2,Draw,0
1930,3,15 Dic 29,Wanda Metropolitano,Atlético,Real Madrid,2,1,Atlético,1
1930,3,15 Dic 29,Camp Nou,Barcelona,CE Europa,2,1,Barcelona,1
1930,3,15 Dic 29,Campos de Sport de El Sardinero,Racing,Arenas,2,5,Arenas,2
1930,3,15 Dic 29,Stadium Gal,Real Unión,Espanyol,3,3,Draw,0
1930,4,22 Dic 29,Municipal de Gobela,Arenas,CE Europa,2,3,CE Europa,2
1930,4,22 Dic 29,Wanda Metropolitano,Atlético,Real Unión,3,3,Draw,0
1930,4,22 Dic 29,Camp Nou,Barcelona,Racing,5,0,Barcelona,1
1930,4,22 Dic 29,RCDE Stadium,Espanyol,Athletic,2,2,Draw,0
1930,4,22 Dic 29,Anoeta,Sociedad,Real Madrid,4,0,Sociedad,1
1930,5,29 Dic 29,Municipal de Gobela,Arenas,Athletic,3,3,Draw,0
1930,5,29 Dic 29,Municipal Nou Sardenya,CE Europa,Sociedad,3,2,CE Europa,1
1930,5,29 Dic 29,Campos de Sport de El Sardinero,Racing,Atlético,3,2,Racing,1
